,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV,PersonalRating,Comment,Favorite
4931,Blind Tiger Brewery & Restaurant,Witbier,White Tiger Wit,1115232096.0,4.0,3.0,3.5,4.0,3.5,-1.0,-1,Unfilled,False
4932,Blind Tiger Brewery & Restaurant,American Ipa,Tiger Bite Ipa,1183222830.0,3.0,3.5,3.0,3.5,4.0,-1.0,-1,Unfilled,False
4933,Traverse Brewing Company,English Brown Ale,Traverse Brewing Sleeping Bear Brown Ale,1031410093.0,3.0,3.0,3.0,3.0,3.0,4.5,-1,Unfilled,False
4934,Port Brewing Company / Pizza Port,American Double / Imperial Ipa,Frank Double Ipa,1140739251.0,4.5,4.5,4.5,4.5,4.5,8.1,-1,Unfilled,False
4935,Tinkoff,German Pilsener,Tinkov Royal Russian Pilsner,1031498397.0,2.5,2.5,1.5,2.0,2.5,5.0,-1,Unfilled,False
4936,Pearl Street Grill And Brewery,American Pale Ale (apa),American Beauty,1031492665.0,4.5,4.0,4.0,4.0,4.5,-1.0,-1,Unfilled,False
4937,Mobjack Bay Brewing Company,American Pale Ale (apa),Pale Ale,1031493972.0,4.0,4.0,3.0,3.5,3.5,5.2,-1,Unfilled,False
4938,Harbor City Brewing Company,American Amber / Red Ale,Mile Rock Amber Ale,1255115150.0,4.0,2.5,3.5,3.0,3.0,-1.0,-1,Unfilled,False
4939,Blind Tiger Brewery & Restaurant,American Porter,Tiger Paw Porter,1031505860.0,4.0,4.0,4.0,3.5,3.5,-1.0,-1,Unfilled,False
4940,Hansa Brauerei / Namibia Breweries,Euro Pale Lager,Tafel,1295697553.0,3.5,3.5,4.0,4.0,3.5,4.0,-1,Unfilled,False
4941,Ithaca Beer Company,American Amber / Red Ale,Finger Lakes Amber Ale,1057515799.0,4.0,4.0,3.5,4.0,3.0,4.8,-1,Unfilled,False
4942,Minneapolis Town Hall Brewery,Lambic - Fruit,Spontaneous Aviator Peach Lambic,1031556576.0,4.0,4.0,3.5,4.0,4.5,-1.0,-1,Unfilled,False
4943,Sherlock's Home,English Bitter,Bishop's Bitter,1031557499.0,5.0,3.5,4.0,4.5,4.5,-1.0,-1,Unfilled,False
4944,Valley Forge Brewing Company,Märzen / Oktoberfest,Oktoberfest,1100120301.0,3.5,3.5,3.5,3.5,3.0,-1.0,-1,Unfilled,False
4945,Dark Horse Brewing Company,Märzen / Oktoberfest,Dark Horse Octoberfest,1098455599.0,3.5,4.0,4.0,4.0,3.5,-1.0,-1,Unfilled,False
4946,Terrapin Beer Company,American Pale Ale (apa),Terrapin Rye Pale Ale,1181139288.0,4.5,4.0,4.0,3.5,4.5,5.3,-1,Unfilled,False
4947,Liquid Manufacturing (arlington Brewing Co.),German Pilsener,Local Color Smooth Talker Pilsner,1055184334.0,4.5,3.5,4.5,3.5,3.5,-1.0,-1,Unfilled,False
4948,"Kennebec Brewing Company, Inc.",Extra Special / Strong Bitter (esb),Esb,1066518973.0,4.0,3.5,4.0,3.5,4.0,5.2,-1,Unfilled,False
4949,"Kennebec Brewing Company, Inc.",Cream Ale,Cream Ale,1054484904.0,2.5,3.0,2.5,3.5,2.5,4.0,-1,Unfilled,False
4950,"Cerveceria Vegana, S.a.",Low Alcohol Beer,Malta India,1179769458.0,1.0,2.0,4.0,3.0,2.0,0.5,-1,Unfilled,False
4951,Gray's Brewing Company,English Brown Ale,Autumn Ale,1042041984.0,4.0,4.0,2.5,3.5,4.0,6.0,-1,Unfilled,False
4952,Stevens Point Brewery,Light Lager,Point Honey Light,1129700970.0,3.0,2.5,3.5,3.0,2.5,4.2,-1,Unfilled,False
4953,Barley's Brewing Company,Hefeweizen,Barley's Hefe Weiss,1031646253.0,3.5,3.5,2.0,3.5,3.5,-1.0,-1,Unfilled,False
4954,West Virginia Brewing Company,American Stout,Blackwater Stout,1046348510.0,4.0,4.0,4.0,3.5,4.5,-1.0,-1,Unfilled,False
4955,West Virginia Brewing Company,American Ipa,Neds Pale Ale,1046347288.0,4.5,4.0,4.0,3.5,4.5,-1.0,-1,Unfilled,False
4956,Watch City Brewing Co.,Munich Dunkel Lager,Gunther,1033716752.0,4.0,2.5,4.5,4.0,3.0,4.5,-1,Unfilled,False
4957,Sackets Harbor Brewing Co.,American Adjunct Lager,Lake Effect Lager,1153962855.0,4.5,3.5,4.0,5.0,4.0,-1.0,-1,Unfilled,False
4958,Brouwerij Boon,Lambic - Fruit,Boon Oude Kriek Mariage Parfait,1317747317.0,4.5,4.0,4.0,4.0,4.5,8.0,-1,Unfilled,False
4959,Brouwerij Duvel Moortgat Nv,Belgian Strong Pale Ale,Duvel Gefilterd,1302790906.0,3.5,3.5,4.0,3.5,3.5,7.5,-1,Unfilled,False
4960,Brasserie Fantôme,Saison / Farmhouse Ale,Fantôme Saison D'erezée - Automne,1161543450.0,4.5,4.5,4.0,4.5,4.5,8.0,-1,Unfilled,False
4961,Brasserie Fantôme,Saison / Farmhouse Ale,Fantôme Strange Ghost,1286846463.0,4.0,4.0,4.5,4.5,4.0,8.0,-1,Unfilled,False
4962,Iron Hill Brewery & Restaurant,English Bitter,Anvil Ale,1117069750.0,4.0,4.5,4.5,4.0,4.0,4.3,-1,Unfilled,False
4963,"Carlton & United Breweries, Ltd.",American Adjunct Lager,Carlton Lj,1171711422.0,1.0,2.0,3.0,2.0,2.0,4.6,-1,Unfilled,False
4964,Thomas Hooker Brewing Company,American Porter,Troutbrook Porter,1031810472.0,4.5,4.0,4.5,4.0,4.5,-1.0,-1,Unfilled,False
4965,Thomas Hooker Brewing Company,Märzen / Oktoberfest,Troutbrook Octoberfest,1047562359.0,3.5,4.0,4.0,4.0,3.5,-1.0,-1,Unfilled,False
4966,Brasserie De L'abbaye Des Rocs S.a.,Witbier,Blanche Des Honnelles [brasserie Des Rocs Blanche Double],1237062963.0,3.0,4.0,3.0,3.0,3.5,6.0,-1,Unfilled,False
4967,Weyerbacher Brewing Co.,American Amber / Red Ale,Autumn Fest,1161051354.0,4.0,3.5,4.0,4.0,4.0,5.4,-1,Unfilled,False
4968,"Middle Ages Brewing Co., Ltd.",American Pale Ale (apa),White Knight Light Ale,1050329261.0,4.0,4.0,4.0,3.5,4.0,-1.0,-1,Unfilled,False
4969,Bluegrass Brewing Co. - East St. Matthew's,Braggot,Luna De Miel: Raspberry Meade,1173809492.0,3.0,4.0,3.5,4.0,3.5,7.82,-1,Unfilled,False
4970,Valkyrie Brewing,Märzen / Oktoberfest,Copperhead,1031860993.0,4.5,4.0,3.5,3.5,4.0,-1.0,-1,Unfilled,False
4971,Aldaris,Baltic Porter,Porteris,1121914360.0,3.0,3.5,3.0,3.5,3.0,6.8,-1,Unfilled,False
4972,Valkyrie Brewing,Vienna Lager,Vienna Woods,1090281993.0,4.0,3.5,4.0,3.5,3.5,-1.0,-1,Unfilled,False
4973,Callahan's Pub & Brewery,American Amber / Red Ale,Callahan Red,1271786930.0,3.0,2.5,3.5,3.5,3.0,-1.0,-1,Unfilled,False
4974,Callahan's Pub & Brewery,American Porter,Cocoa Porter,1293477695.0,4.0,4.0,4.5,4.0,4.0,-1.0,-1,Unfilled,False
4975,Callahan's Pub & Brewery,Hefeweizen,El-hefe Weizen,1285118738.0,2.5,3.5,3.0,2.0,2.5,-1.0,-1,Unfilled,False
4976,Swale Brewery,English Pale Ale,Swale Brewery Indian Summer Pale Ale,1064192611.0,4.0,4.0,4.0,4.0,4.0,5.0,-1,Unfilled,False
4977,Martha's Exchange,Saison / Farmhouse Ale,Munjoie Saison,1063170299.0,4.5,3.5,4.5,4.0,4.0,-1.0,-1,Unfilled,False
4978,Cooper's Cave Ale Company,English Bitter,Tavern Ale,1066744218.0,2.5,2.0,3.0,3.0,2.0,-1.0,-1,Unfilled,False
4979,Old World Brewing Company Inc.,American Pale Ale (apa),New York Harbor Ale,1042198579.0,4.0,3.5,4.0,4.0,4.0,-1.0,-1,Unfilled,False
4980,Cold Spring Brewing Co.,German Pilsener,Gluek Golden Pilsner,1148770184.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1,Unfilled,False
4981,Barrel House Brewing Company,American Pale Ale (apa),Cumberland Pale Ale,1188518575.0,3.5,3.5,4.5,3.5,3.5,4.7,-1,Unfilled,False
4982,Barrel House Brewing Company,German Pilsener,Flying Pig Pilsner,1050789941.0,3.0,3.0,3.0,3.0,3.0,4.2,-1,Unfilled,False
4983,Barrel House Brewing Company,Milk / Sweet Stout,Sternwheeler Stout,1098126786.0,4.5,4.0,4.0,3.5,4.5,5.0,-1,Unfilled,False
4984,Barrel House Brewing Company,Belgian Strong Dark Ale,Belgian Winter Ale,1167257246.0,3.5,4.0,4.0,3.5,3.5,8.0,-1,Unfilled,False
4985,Lighthouse Brewing Company,American Amber / Red Ale,Race Rocks Ale,1311828818.0,3.5,3.5,4.5,4.0,4.0,5.2,-1,Unfilled,False
4986,Lighthouse Brewing Company,English India Pale Ale (ipa),Beacon India Pale Ale,1128231054.0,4.0,3.5,4.0,4.0,3.5,5.4,-1,Unfilled,False
4987,Lighthouse Brewing Company,Irish Dry Stout,Keepers Stout,1270003687.0,3.5,3.0,3.5,3.0,3.5,5.1,-1,Unfilled,False
4988,West Virginia Brewing Company,Czech Pilsener,Pillowrock Pilsner,1190320321.0,4.5,4.5,4.5,3.5,4.0,5.0,-1,Unfilled,False
4989,Nodding Head Brewery And Restaurant,American Pale Ale (apa),Hop Bitch,1032011417.0,3.0,3.5,4.0,4.0,3.5,5.8,-1,Unfilled,False
4990,General Lafayette Inn & Brewery,Old Ale,Olde Curmudgeon,1032127438.0,4.5,4.5,4.0,4.5,4.5,7.1,-1,Unfilled,False
4991,Sly Fox Brewing Company,American Pale Ale (apa),Phoenix Pale Ale,1055931696.0,4.5,3.5,4.0,4.0,3.5,5.1,-1,Unfilled,False
4992,Back Road Brewery,American Ipa,Midwest Ipa,1150858717.0,2.5,2.5,2.5,3.0,2.5,7.2,-1,Unfilled,False
4993,Barley Creek Brewing Company,American Porter,Chocolate Porter,1031989941.0,4.5,4.0,4.0,4.0,4.0,-1.0,-1,Unfilled,False
4994,Brasserie Meteor,German Pilsener,Meteor Pils,1152418654.0,4.0,2.0,3.0,3.0,3.5,5.0,-1,Unfilled,False
4995,Brasserie Meteor,Scottish Ale,Mortimer,1031996818.0,4.0,3.5,4.5,4.0,4.0,-1.0,-1,Unfilled,False
4996,Old European Brewing Company,American Adjunct Lager,Frederick Scholz Ice,1046794176.0,2.0,2.0,2.5,2.0,2.0,5.8,-1,Unfilled,False
4997,Golden Pacific Brewing Company,Czech Pilsener,Bohemian Lager,1061164968.0,3.5,3.5,3.0,3.0,3.5,4.65,-1,Unfilled,False
4998,Gritty Mcduff's Brewing Company,Extra Special / Strong Bitter (esb),Gritty Mcduff's Halloween Ale,1101512473.0,3.0,3.0,4.0,4.0,2.5,6.0,-1,Unfilled,False
4999,"Pivovar Starbrno, A.s.",Czech Pilsener,Starobrno,1223923044.0,3.0,3.5,3.5,4.0,3.0,5.0,-1,Unfilled,False
5000,Hereford & Hops Restaurant & Brewpub,American Amber / Red Ale,Cleary Red,1059847383.0,3.5,4.0,4.5,4.0,3.5,-1.0,-1,Unfilled,False
5001,Hereford & Hops Restaurant & Brewpub,Märzen / Oktoberfest,Octoberfest / Marzen,1048611977.0,4.0,3.5,3.5,3.0,3.5,-1.0,-1,Unfilled,False
5002,Hereford & Hops Restaurant & Brewpub,Dortmunder / Export Lager,Dortmunder,1045588172.0,4.0,3.5,4.0,4.5,3.5,-1.0,-1,Unfilled,False
5003,Hereford & Hops Restaurant & Brewpub,Kölsch,Koelsch Ale,1059496304.0,3.0,3.5,4.5,3.5,3.0,-1.0,-1,Unfilled,False
5004,Hereford & Hops Restaurant & Brewpub,Winter Warmer,Christmas Ale,1041899492.0,3.5,4.0,4.0,3.5,3.5,-1.0,-1,Unfilled,False
5005,Tied House Cafe & Brewery,American Blonde Ale,Alpine Gold,1317164827.0,2.0,2.0,3.0,3.0,2.0,-1.0,-1,Unfilled,False
5006,Tied House Cafe & Brewery,American Amber / Red Ale,Cascade Amber,1229753013.0,2.5,3.5,3.0,2.0,2.0,5.2,-1,Unfilled,False
5007,Tied House Cafe & Brewery,English Brown Ale,Ironwood Dark,1039249782.0,3.0,2.5,3.0,3.0,2.5,4.9,-1,Unfilled,False
5008,Tied House Cafe & Brewery,Hefeweizen,New World Wheat,1320457486.0,3.0,3.0,3.5,3.0,3.0,-1.0,-1,Unfilled,False
5009,Tied House Cafe & Brewery,Oatmeal Stout,Oatmeal Stout,1119345475.0,3.5,3.5,4.0,3.0,3.0,-1.0,-1,Unfilled,False
5010,Tied House Cafe & Brewery,Maibock / Helles Bock,Mai Bock,1080593031.0,3.5,3.0,3.5,4.0,3.5,6.5,-1,Unfilled,False
5011,Tied House Cafe & Brewery,Extra Special / Strong Bitter (esb),Shark Bite Esb,1119225284.0,3.5,3.0,3.0,3.0,3.5,-1.0,-1,Unfilled,False
5012,Tied House Cafe & Brewery,American Ipa,India Pale Ale (ipa),1066091227.0,3.0,3.0,3.0,3.0,3.5,-1.0,-1,Unfilled,False
5013,Tied House Cafe & Brewery,Märzen / Oktoberfest,Oktoberfest Lager,1288759187.0,3.0,2.5,2.5,3.5,3.5,-1.0,-1,Unfilled,False
5014,Tied House Cafe & Brewery,American Pale Ale (apa),California Pale Ale (cpa),1227491217.0,3.0,3.0,3.5,3.5,3.5,-1.0,-1,Unfilled,False
5015,Tied House Cafe & Brewery,American Amber / Red Ale,Amber Light,1039905430.0,3.0,3.0,3.0,3.0,3.0,-1.0,-1,Unfilled,False
5016,Tied House Cafe & Brewery,Fruit / Vegetable Beer,Raspberry Wheat,1080593292.0,3.5,3.5,3.5,3.5,3.5,-1.0,-1,Unfilled,False
5017,Tied House Cafe & Brewery,Fruit / Vegetable Beer,Passion Ale,1319433035.0,3.0,3.0,3.5,3.0,3.0,-1.0,-1,Unfilled,False
5018,La Zaragozana S.a.,Schwarzbier,Ambar Negra,1186312683.0,3.0,3.0,4.0,3.5,3.5,4.8,-1,Unfilled,False
5019,Sherlock's Home,American Ipa,Star Of India Ipa,1032114872.0,4.5,4.5,4.5,4.5,5.0,-1.0,-1,Unfilled,False
5020,Portsmouth Brewery,Dunkelweizen,Portsmouth Dunkelweizen,1284606841.0,3.5,4.0,4.5,4.0,3.0,5.5,-1,Unfilled,False
5021,Rock Bottom Restaurant & Brewery,Witbier,Great White Wheat,1110039772.0,3.5,3.5,3.5,3.5,4.0,-1.0,-1,Unfilled,False
5022,La Zaragozana S.a.,Euro Strong Lager,Zaragozana Especial Export,1032099597.0,3.5,2.5,4.0,3.5,3.0,7.0,-1,Unfilled,False
5023,Rock Bottom Restaurant & Brewery,Light Lager,Cyclone Light Lager,1109895643.0,4.0,2.0,3.0,3.5,3.5,-1.0,-1,Unfilled,False
5024,Rock Bottom Restaurant & Brewery,English Brown Ale,Long Board Brown,1294455450.0,5.0,4.0,4.5,4.5,4.0,-1.0,-1,Unfilled,False
5025,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Pelican Red Ale,1204582974.0,2.5,2.0,3.0,3.5,3.0,-1.0,-1,Unfilled,False
5026,Portsmouth Brewery,Fruit / Vegetable Beer,Portsmouth Black Cherry Stout,1032111816.0,3.0,3.0,4.0,3.0,3.5,-1.0,-1,Unfilled,False
5027,Heavy Seas Beer,Fruit / Vegetable Beer,Oxford Raspberry,1199934247.0,3.0,3.5,3.0,3.5,3.0,4.5,-1,Unfilled,False
5028,Brasserie Du Bocq,Witbier,Blanche De Namur,1172500213.0,4.5,4.0,4.0,4.0,4.0,4.5,-1,Unfilled,False
5029,Brasserie Du Bocq,Belgian Pale Ale,St. Benôit Blonde,1232232582.0,3.5,3.5,3.5,3.0,3.5,6.3,-1,Unfilled,False
5030,Brasserie Du Bocq,Belgian Strong Dark Ale,La Gauloise Brune,1247672519.0,5.0,4.0,5.0,4.5,4.0,8.7,-1,Unfilled,False
5031,Pabst Brewing Company,American Adjunct Lager,Jacob Best Pilsner,1205513345.0,2.0,1.5,1.5,2.5,2.0,4.73,-1,Unfilled,False
5032,Brauerei Diebels Gmbh & Co Kg,Altbier,Diebels Alt,1249820968.0,4.0,3.5,4.0,3.5,4.0,4.8,-1,Unfilled,False
5033,Hyde Park Brewing Company,Czech Pilsener,Hyde Park Winkle Lager,1125570907.0,4.5,4.0,4.0,4.0,4.0,4.8,-1,Unfilled,False
5034,Hyde Park Brewing Company,Schwarzbier,Hyde Park Von Schtupps Dark Lager,1066654971.0,3.5,3.5,3.0,4.0,3.5,4.5,-1,Unfilled,False
5035,Gettysburg Brewing Co.,Baltic Porter,Picket's Imperial Porter,1032445025.0,3.0,3.5,4.0,4.0,3.5,7.2,-1,Unfilled,False
5036,Papago Brewing,American Porter,El Robusto Porter,1202482328.0,5.0,4.0,4.0,4.5,4.5,8.0,-1,Unfilled,False
5037,Pittsburgh Brewing Co.,American Adjunct Lager,Old German,1168222359.0,3.5,2.0,1.5,2.5,2.0,-1.0,-1,Unfilled,False
5038,"Kennebec Brewing Company, Inc.",American Stout,Gurglin' Sturgeon Stout,1192485518.0,2.5,3.5,4.5,3.5,2.5,4.0,-1,Unfilled,False
5039,"Middle Ages Brewing Co., Ltd.",Scotch Ale / Wee Heavy,Ye Olde Kilt Tilter,1140496731.0,4.0,4.0,4.0,4.0,4.5,9.0,-1,Unfilled,False
5040,Weyerbacher Brewing Co.,Tripel,Merry Monks' Ale,1310592289.0,4.0,4.0,4.0,4.5,3.5,9.3,-1,Unfilled,False
5041,Mythos Breweries S.a.,Euro Pale Lager,Aris Greek Lager,1083997281.0,2.0,1.5,2.5,2.5,2.5,5.0,-1,Unfilled,False
5042,New Glarus Brewing Company,Märzen / Oktoberfest,Staghorn Octoberfest,1194142768.0,5.0,4.5,4.5,4.5,5.0,6.25,-1,Unfilled,False
5043,Ithaca Beer Company,American Ipa,Flower Power India Pale Ale,1272490929.0,4.5,4.0,4.0,4.5,4.0,7.5,-1,Unfilled,False
5044,Cervejarias Reunidas Skol-caracu,Milk / Sweet Stout,Caracu,1232401619.0,2.5,3.5,4.0,4.0,3.5,5.3,-1,Unfilled,False
5045,Hudepohl-schoenling Brewing Co.,Light Lager,Hudy Delight,1226525003.0,5.0,2.0,2.0,1.0,2.5,-1.0,-1,Unfilled,False
5046,Rio Salado Brewing Company,Märzen / Oktoberfest,Rio Salado Monsoon Maerzen Amber Lager,1046357899.0,4.5,4.0,4.5,4.5,4.0,6.38,-1,Unfilled,False
5047,Rock Bottom Restaurant & Brewery,American Blonde Ale,Signal Hill Gold,1032212207.0,4.0,4.5,4.5,4.0,4.0,-1.0,-1,Unfilled,False
5048,Stone Arch Brewpub,Märzen / Oktoberfest,Oktoberfest,1161548527.0,2.0,2.0,3.0,2.5,2.0,-1.0,-1,Unfilled,False
5049,Rio Salado Brewing Company,Schwarzbier,Rio Salado Thunderhead Schwarz Dark Lager,1049657611.0,4.5,4.0,4.0,4.0,4.0,5.81,-1,Unfilled,False
5050,"Mash House Restaurant & Brewery, The",Irish Red Ale,Ravishing Red Irish Style Red,1082467072.0,4.0,3.5,3.5,3.0,3.5,5.0,-1,Unfilled,False
5051,"Mash House Restaurant & Brewery, The",Schwarzbier,Schwarzbier,1140559060.0,4.0,3.5,3.5,3.5,3.5,-1.0,-1,Unfilled,False
5052,"Mash House Restaurant & Brewery, The",Märzen / Oktoberfest,Oktoberfest,1098611405.0,4.5,4.0,3.5,3.5,3.5,5.4,-1,Unfilled,False
5053,The Blue Ridge Brewing Co.,American Stout,Xxx Total Eclipse Stout,1275867079.0,4.5,4.0,4.5,4.5,4.0,-1.0,-1,Unfilled,False
5054,Chesapeake Bay Brewing Company,Pumpkin Ale,Rock Creek Punkinhead Ale,1032222934.0,3.5,4.0,3.0,3.0,3.5,-1.0,-1,Unfilled,False
5055,Highland Brewing,American Porter,Highland Oatmeal Porter,1292633354.0,4.5,3.5,4.0,4.0,4.0,5.8,-1,Unfilled,False
5056,Privatbrauerei Eichbaum Gmbh & Co. Kg,German Pilsener,Eichbaum Ureich Premium Pils,1319069098.0,2.5,3.0,2.5,2.5,3.5,4.8,-1,Unfilled,False
5057,Pivovar Radegast A.s.,Czech Pilsener,Czechoslovakian Original Lager,1032524226.0,3.0,2.0,2.0,2.0,3.0,5.0,-1,Unfilled,False
5058,Sly Fox Brewing Company,Irish Dry Stout,O'reilly's Irish Stout,1297212542.0,4.0,3.5,5.0,4.0,3.0,3.6,-1,Unfilled,False
5059,Thirsty Dog Brewing Company,Light Lager,Airship Light,1050082165.0,2.5,2.5,3.0,2.5,2.5,-1.0,-1,Unfilled,False
5060,Quidi Vidi Brewing Company,Fruit / Vegetable Beer,Kriek,1258044450.0,2.0,3.0,2.5,2.0,2.0,5.0,-1,Unfilled,False
5061,Valkyrie Brewing,American Adjunct Lager,Sylvan Springs,1032288846.0,3.0,3.0,3.5,3.0,2.5,-1.0,-1,Unfilled,False
5062,Brouwerij Mort Subite,Gueuze,Mort Subite Gueuze Fond,1032656533.0,3.5,4.0,4.0,4.0,4.5,7.2,-1,Unfilled,False
5063,Saxer Brewing Company / Nor'wester Beer Company,Fruit / Vegetable Beer,Nor'wester Raspberry Weizen,1088218990.0,3.5,4.0,4.0,3.5,3.5,5.3,-1,Unfilled,False
5064,Pardubický Pivovar A.s.,Czech Pilsener,Boom Pilsner,1032298584.0,3.5,4.0,3.5,3.5,3.5,5.0,-1,Unfilled,False
5065,Browar Namys&#322;ów Sp. Z O.o.,Euro Pale Lager,Golden Denar (zloty Denar),1137874823.0,2.5,3.0,3.5,2.0,2.0,5.5,-1,Unfilled,False
5066,Carolina Beer Company,Pumpkin Ale,Cottonwood Pumpkin Spiced Ale,1157503609.0,4.5,4.5,4.0,4.5,4.5,4.5,-1,Unfilled,False
5067,Outer Banks Brewing Station,American Porter,Blackstrap Porter,1032308361.0,3.0,3.0,5.0,5.0,3.5,-1.0,-1,Unfilled,False
5068,Outer Banks Brewing Station,American Pale Wheat Ale,Lemongrass Wheat Ale,1313024587.0,4.0,4.0,3.0,4.0,4.0,5.3,-1,Unfilled,False
5069,Brouwerij Lindemans,Gueuze,Lindemans Gueuze Cuvée René,1105305622.0,4.5,5.0,4.0,4.5,5.0,5.0,-1,Unfilled,False
5070,Thirsty Dog Brewing Company,California Common / Steam Beer,California Crisp,1032335208.0,3.0,2.0,3.0,3.0,3.0,-1.0,-1,Unfilled,False
5071,Thirsty Dog Brewing Company,Scottish Ale,Old Cerberus,1032336997.0,3.5,3.5,3.5,4.0,3.5,-1.0,-1,Unfilled,False
5072,Dogfish Head Brewery,American Ipa,60 Minute Ipa,1199320282.0,4.5,4.0,4.5,4.0,4.0,6.0,-1,Unfilled,False
5073,Bricktown Brewery,American Amber / Red Ale,Copperhead Amber Ale,1221781170.0,3.5,3.0,3.5,3.0,3.0,-1.0,-1,Unfilled,False
5074,J.j. Bitting Brewing Company,American Porter,Cappa Cappa Crusher,1160918326.0,3.0,3.0,4.0,3.0,3.0,4.6,-1,Unfilled,False
5075,Barrel House Brewing Company,English Strong Ale,Vandermeer 00,1109790506.0,4.5,3.0,4.0,4.0,4.5,9.0,-1,Unfilled,False
5076,Marin Brewing Company,Fruit / Vegetable Beer,Raspberry Trail Ale,1281843093.0,3.0,3.5,4.0,3.5,3.5,5.0,-1,Unfilled,False
5077,Triumph Brewing Company,Irish Dry Stout,Irish Dry Stout,1073233352.0,4.5,4.0,4.5,4.5,4.0,4.2,-1,Unfilled,False
5078,Triumph Brewing Company,Rye Beer,Jewish Rye Beer,1052244791.0,4.0,4.5,4.0,4.0,5.0,-1.0,-1,Unfilled,False
5079,James Page Brewing Company,Märzen / Oktoberfest,Oktoberfest Lager,1032371228.0,4.0,3.5,3.0,3.5,4.0,-1.0,-1,Unfilled,False
5080,Old Dominion Brewing Company,Scotch Ale / Wee Heavy,Winter Brew 2001,1046239131.0,3.0,3.0,3.0,3.5,2.5,-1.0,-1,Unfilled,False
5081,Brouwerij De Landtsheer Nv,Belgian Strong Pale Ale,Malheur 10°,1178584917.0,4.0,3.5,4.5,4.0,4.0,10.0,-1,Unfilled,False
5082,J.j. Bitting Brewing Company,English Brown Ale,J.j.'s Nut Brown Ale,1041887484.0,4.0,3.5,4.5,3.5,3.5,4.6,-1,Unfilled,False
5083,J.j. Bitting Brewing Company,Märzen / Oktoberfest,J.j.'s Oktoberfest,1066098571.0,4.0,4.0,3.5,4.0,4.0,-1.0,-1,Unfilled,False
5084,Thirsty Dog Brewing Company,American Porter,Raspberry Leghumper,1282314960.0,4.0,4.0,3.5,3.0,4.0,-1.0,-1,Unfilled,False
5085,Thirsty Dog Brewing Company,Black & Tan,Mixed Breed,1032422424.0,3.5,3.0,4.0,3.5,3.5,-1.0,-1,Unfilled,False
5086,Thirsty Dog Brewing Company,American Amber / Red Lager,Balto Heroic Lager,1268866156.0,4.0,3.0,3.0,3.0,3.5,5.4,-1,Unfilled,False
5087,Thirsty Dog Brewing Company,American Porter,Mcdoogin's Porter,1032422783.0,4.5,4.0,4.5,4.0,4.5,-1.0,-1,Unfilled,False
5088,Dogfish Head Brewery,American Pale Ale (apa),Lawnmower Light,1314401486.0,3.5,3.0,3.0,3.0,3.5,4.0,-1,Unfilled,False
5089,J.j. Bitting Brewing Company,Hefeweizen,J.j.'s Hefeweizen,1032430185.0,5.0,4.5,4.5,4.5,5.0,-1.0,-1,Unfilled,False
5090,J.j. Bitting Brewing Company,English Bitter,Bittings Best Bitter,1078260574.0,4.0,3.5,4.0,3.5,4.0,-1.0,-1,Unfilled,False
5091,Gettysburg Brewing Co.,American Blonde Ale,Gettysburg Golden Ale,1032445398.0,4.0,3.0,3.0,3.0,3.5,4.2,-1,Unfilled,False
5092,Gettysburg Brewing Co.,American Ipa,Devil's Den I.p.a.,1032445661.0,3.5,3.0,3.5,3.5,4.0,6.5,-1,Unfilled,False
5093,Gold Crown Brewery,Dortmunder / Export Lager,Premium Lager,1161649553.0,3.5,3.5,3.0,3.0,3.5,5.3,-1,Unfilled,False
5094,Gold Crown Brewery,American Pale Ale (apa),Jester's Ale,1032448444.0,3.5,3.5,3.5,3.5,4.0,5.3,-1,Unfilled,False
5095,Companhia Cervejaria Brahma,Schwarzbier,Brahma Malzbier,1229179896.0,4.0,2.5,3.0,3.0,2.5,4.0,-1,Unfilled,False
5096,Erdinger Weissbräu,Hefeweizen,Erdinger Champ,1308620096.0,3.5,3.0,3.0,3.0,2.5,4.7,-1,Unfilled,False
5097,Privatbrauerei Franz Inselkammer Kg / Brauerei Aying,German Pilsener,Ayinger Premium-pils,1032461009.0,3.0,2.5,2.5,2.5,2.5,5.0,-1,Unfilled,False
5098,W.h. Brakspear & Sons Plc,English Pale Ale,Ted & Bens Organic Beer,1032461328.0,4.5,5.0,4.0,4.5,4.5,4.6,-1,Unfilled,False
5099,George Bateman And Son Ltd. / Batemans Brewery,Hefeweizen,Batemans Marie Celeste,1064460814.0,1.5,2.5,4.0,2.0,1.5,4.6,-1,Unfilled,False
5100,Brasserie De L'abbaye Des Rocs S.a.,Belgian Strong Dark Ale,La Montagnarde [brasserie Des Rocs Ambree],1281870192.0,4.5,4.5,4.0,4.5,5.0,9.0,-1,Unfilled,False
5101,Brouwerij Van Steenberge N.v.,Flanders Oud Bruin,Bios Vlaamse Bourgogne,1227575254.0,4.5,3.5,4.0,4.0,4.0,5.5,-1,Unfilled,False
5102,Brouwerij De Graal,Herbed / Spiced Beer,De Graal Gember,1316234692.0,3.5,2.5,3.5,4.0,3.5,8.0,-1,Unfilled,False
5103,Brouwerij De Graal,Belgian Pale Ale,De Graal Blond,1032470691.0,3.5,3.0,3.5,3.5,3.0,6.5,-1,Unfilled,False
