,Name,Country,Roaster,Roast,Origin,Price,UserRating
984,Ethiopia Natural Guji D Minor Special Lot,,,,,,
985,2020 Savage Auction Deborah Carbonic-macerated Natural Geisha,,,,Chiriqui,,
986,Costa Rica Cordillera Del Fuego,,,,,,
987,Ethiopia Bombe Mountains,,,,Bombe Mountains,,
988,Ethiopia Guji 1 Natural Hambela Lot 215,,,,,,
989,Honduras Sergio Romero Single-origin Espresso,,,,Corquin,,
990,Kenya Giakanja,,,,Nyeri County,,
991,Ethiopia Yirgacheffe G1 Natural Asfaw Maru,,,,,,
992,Costa Rica Termico,,,,,,
993,Finca El Jardin Guatemala,,Tug Hill Artisan Roasters,,Fraijanes Growing Region,4.59,
994,Coffea Diversa Rume Sudan Winey,,,,Suchitan,,
995,Hawai’i Puna Anaerobic Washed,,,,Puna Growing Region,,
996,Colombia Hacienda Casablanca,,,,Cundinamarca,,
997,La Union,,,,,4.64,
998,Kaguyu,,,,,,
999,Halo Hartume,,,,,,
1000,,,,,,,
1001,,,,,Asia Pacific,,
1002,,,,,Southern Ethiopia,,
1003,,,,,,,
1004,,,,,,,
1005,,,,,,,
1006,,,,,,,
1007,,,,,,,
1008,,,,,,,
1009,,,,,,,
1010,,,,,,,
1011,,,,,,,
1012,,,,,,,
1013,,,,,,,
1014,,,,,,,
1015,,,,,,,
1016,,,,,,,
1017,,,,,,,
1018,,,,,,,
1019,,,,,,,
1020,,,,,,,
1021,,,,,,,
1022,,,,,,,
1023,,,,,,,
1024,,,,,,,
1025,,,,,,,
1026,,,,,,,
1027,,,,,,,
1028,,,,,La Unión Department,,
1029,,,,,,,
1030,,,,,,,
1031,,,,,,,
1032,,,,,,,
1033,,,,,,,
1034,,,,,,,
1035,,,,,,,
1036,,,,,,,
1037,,,,,North Kivu Province,,
1038,,,,,,,
1039,,,,,,,
1040,,,,,,,
1041,,,,,,,
1042,,,,,Southern Costa Rica,,
1043,,,,,,,
1044,,,,,,,
1045,,,,,,,
1046,,,,,Western Panama,,
1047,,,,,,,
1048,,,,,,,
1049,,,,,,,
1050,,,,,,,
1051,,,,,Southern Colombia,,
1052,,,,,,,
1053,,,,,Big Island Of Hawaii,,
1054,,,,,,,
1055,,,,,Thika Province,,
1056,,,,,,,
1057,,,,,,,
1058,,,,,West-central Colombia,,
1059,,,,,,,
1060,,,,,,,
1061,,,,,North-central Yemen,,
1062,,,,,,,
1063,,,,,,,
1064,,,,,,,
1065,,,,,,,
1066,,,,,La Paz Department,,
1067,,,,,,,
1068,,,,,,,
1069,,,,,,,
1070,,,,,,,
1071,,,,,Southern Province,,
1072,,,,,,,
1073,,,,,,,
1074,,,,,South-central Ethiopia,,
1075,,,,,,,
1076,,,,,,,
1077,,,,,,,
1078,,,,,,,
1079,,,,,,,
1080,,,,,,,
1081,,,,,Far Western Panama,,
1082,,,,,,,
1083,,,,,,,
1084,,,,,,,
1085,,,,,,,
1086,,,,,,,
1087,,,,,,,
1088,,,,,,,
1089,,,,,Center-west Colombia,,
1090,,,,,,,
1091,,,,,,,
1092,,,,,,,
1093,,,,,,,
1094,,,,,,,
1095,,,,,,,
1096,,,,,,,
1097,,,,,,,
1098,,,,,,,
1099,,,,,,,
1100,,,,,,,
1101,,,,,,,
1102,,,,,,,
1103,,,,,,,
1104,,,,,South-central Rwanda,,
1105,,,,,,,
1106,,,,,,,
1107,,,,,Nuwakot District,,
1108,,,,,,,
1109,,,,,,,
1110,,,,,,,
1111,,,,,,,
1112,,,,,North Sumatra Province,,
1113,,,,,,,
1114,,,,,,,
1115,,,,,,,
1116,,,,,,,
1117,,,,,,,
1118,,,,,,,
1119,,,,,,,
1120,,,,,Muhinga Province,,
1121,,,,,,,
1122,,,,,,,
1123,,,,,,,
1124,,,,,Northern Ecuador,,
1125,,,,,,,
1126,,,,,,,
1127,,,,,Sana’a Governorate,,
1128,,,,,,,
1129,,,,,,,
1130,,,,,,,
1131,,,,,,,
1132,,,,,,,
1133,,,,,,,
1134,,,,,,,
1135,,,,,,,
1136,,,,,,,
1137,,,,,,,
1138,,,,,,,
1139,,,,,,,
1140,,,,,South-central Sulawesi,,
1141,,,,,,,
1142,,,,,,,
1143,,,,,,,
1144,,,,,Eastern Minas Gerais State,,
1145,,,,,Bahia State,,
1146,,,,,,,
1147,,,,,,,
1148,,,,,Kabuye,,
1149,,,,,,,
1150,,,,,,,
1151,,,,,,,
1152,,,,,,,
1153,,,,,,,
1154,,,,,,,
1155,,,,,,,
1156,,,,,,,
1157,,,,,,,
1158,,,,,,,
1159,,,,,,,
1160,,,,,,,
1161,,,,,,,
1162,,,,,,,
1163,,,,,,,
1164,,,,,,,
1165,,,,,,,
1166,,,,,Northwest El Salvador,,
1167,,,,,,,
1168,,,,,,,
1169,,,,,,,
1170,,,,,,,
1171,,,,,,,
1172,,,,,,,
1173,,,,,,,
1174,,,,,,,
1175,,,,,Northeastern Minas Gerais State,,
1176,,,,,Southeastern Brazil,,
1177,,,,,,,
1178,,,,,,,
1179,,,,,,,
1180,,,,,,,
1181,,,,,,,
1182,,,,,Not Disclosed,,
1183,,,,,,,
1184,,,,,Eastern Province Kenya,,
1185,,,,,,,
1186,,,,,,,
1187,,,,,Central And South America,,
1188,,,,,,,
1189,,,,,,,
1190,,,,,Muyinga Province,,
1191,,,,,,,
1192,,,,,,,
1193,,,,,Eastern Region,,
1194,,,,,,,
1195,,,,,,,
1196,,,,,,,
1197,,,,,,,
1198,,,,,Mara Region,,
1199,,,,,,,
1200,,,,,,,
1201,,,,,,,
1202,,,,,,,
1203,,,,,,,
1205,,,,,,,
1206,,,,,,,
1207,,,,,,,
1208,,,,,,,
1209,,,,,,,
1210,,,,,São Paulo State,,
1211,,,,,,,
1212,,,,,,,
1213,,,,,,,
1214,,,,,,,
1215,,,,,,,
1216,,,,,,,
1217,,,,,,,
1218,,,,,,,
1219,,,,,,,
1220,,,,,,,
1221,,,,,,,
1222,,,,,Southwestern Colombianar,,
1223,,,,,Northern Peru,,
1224,,,,,,,
1225,,,,,,,
1226,,,,,,,
1227,,,,,,,
1228,,,,,Fraijanes Plateau Growing Region,,
1229,,,,,,,
1230,,,,,,,
1231,,,,,,,
1232,,,,,,,
1233,,,,,,,
1234,,,,,,,
1235,,,,,,,
1236,,,,,Keffa Zone,,
1237,,,,,,,
1238,,,,,,,
1239,,,,,,,
1240,,,,,,,
1241,,,,,,,
1242,,,,,,,
1243,,,,,,,
1244,,,,,,,
1245,,,,,,,
1246,,,,,,,
1248,,,,,Central Guatemala,,
1249,,,,,,,
1250,,,,,,,
1251,,,,,,,
1252,,,,,,,
1253,,,,,,,
1254,,,,,,,
1255,,,,,,,
1256,,,,,,,
1257,,,,,,,
1258,,,,,,,
1259,,,,,,,
1260,,,,,,,
1261,,,,,,,
1262,,,,,,,
1263,,,,,,,
1264,,,,,,,
1265,,,,,,,
1266,,,,,,,
1267,,,,,,,
1268,,,,,,,
1269,,,,,Chiriquí,,
1270,,,,,,,
1271,,,,,,,
1273,,,,,,,
1274,,,,,,,
1275,,,,,,,
1276,,,,,,,
1277,,,,,,,
1278,,,,,,,
1279,,,,,,,
1280,,,,,,,
1281,,,,,,,
1282,,,,,,,
1283,,,,,,,
1284,,,,,,,
1285,,,,,,,
1286,,,,,,,
1287,,,,,Southwest Ethiopia,,
1288,,,,,,,
1289,,,,,,,
1290,,,,,,,
1291,,,,,,,
1292,,,,,,,
1293,,,,,,,
1294,,,,,,,
1295,,,,,,,
1296,,,,,,,
1297,,,,,,,
1298,,,,,,,
1299,,,,,South-central Guatemala,,
1300,,,,,,,
1301,,,,,,,
1302,,,,,Papua New Guinea,,
1303,,,,,Southwest Uganda,,
1304,,,,,Naranjo,,
1305,,,,,,,
1306,,,,,,,
1307,,,,,,,
1308,,,,,Eastern Province,,
1309,,,,,Sidamo,,
1310,,,,,,,
1311,,,,,,,
1312,,,,,,,
1313,,,,,,,
1314,,,,,,,
1315,,,,,,,
1316,,,,,,,
1317,,,,,,,
1318,,,,,,,
1319,,,,,,,
1320,,,,,,,
1321,,,,,,,
1322,,,,,Jalapa,,
1323,,,,,,,
1324,,,,,,,
1325,,,,,,,
1326,,,,,Ahuachapán Department,,
1327,,,,,,,
1328,,,,,,,
1329,,,,,,,
1330,,,,,,,
1331,,,,,,,
1332,,,,,,,
1333,,,,,,,
1334,,,,,,,
1335,,,,,,,
1336,,,,,,,
1337,,,,,,,
1338,,,,,,,
1339,,,,,,,
1340,,,,,,,
1341,,,,,,,
1342,,,,,Oromia State,,
1343,,,,,Central Costa Rica,,
1344,,,,,,,
1345,,,,,,,
1346,,,,,,,
1347,,,,,,,
1348,,,,,,,
1349,,,,,,,
1350,,,,,,,
1351,,,,,,,
1352,,,,,,,
1353,,,,,,,
1354,,,,,,,
1355,,,,,,,
1357,,,,,,,
1358,,,,,,,
1359,,,,,,,
1360,,,,,,,
1361,,,,,,,
1362,,,,,,,
1363,,,,,,,
1364,,,,,,,
1365,,,,,,,
1366,,,,,,,
1367,,,,,,,
1368,,,,,,,
1369,,,,,Southern Tolima Growing Region,,
1370,,,,,,,
1371,,,,,,,
1372,,,,,,,
1373,,,,,,,
1374,,,,,,,
1375,,,,,,,
1376,,,,,,,
1377,,,,,,,
1378,,,,,,,
1379,,,,,,,
1380,,,,,,,
1381,,,,,,,
1382,,,,,,,
1383,,,,,,,
1384,,,,,,,
1385,,,,,,,
1386,,,,,,,
1387,,,,,,,
1388,,,,,,,
1390,,,,,Western Province,,
1391,,,,,,,
1392,,,,,,,
1393,,,,,,,
1394,,,,,,,
1395,,,,,,,
1396,,,,,Santa Maria,,
1397,,,,,,,
1398,,,,,Northern Tanzania,,
1399,,,,,Zamora Province,,
1400,,,,,North-central Ecuador,,
1401,,,,,,,
1402,,,,,Oxapampa,,
1403,,,,,Junin Region,,
1404,,,,,,,
1405,,,,,,,
1406,,,,,,,
1407,,,,,,,
1408,,,,,,,
1409,,,,,,,
1410,,,,,,,
1411,,,,,,,
1412,,,,,,,
1413,,,,,,,
1414,,,,,,,
1415,,,,,,,
1416,,,,,,,
1417,,,,,,,
1418,,,,,,,
1419,,,,,,,
1421,,,,,Tarime,,
1422,,,,,,,
1423,,,,,Southwestern Ethiopia,,
1424,,,,,,,
1425,,,,,,,
1426,,,,,,,
1427,,,,,,,
1428,,,,,,,
1429,,,,,,,
1430,,,,,,,
1431,,,,,,,
1432,,,,,,,
1433,,,,,Southern Ecuador,,
1434,,,,,Amazonas Region,,
1435,,,,,Central Province,,
1436,,,,,Malaysia,,
1437,,,,,,,
1438,,,,,Democratic Republic Of The Congo,,
1439,,,,,,,
1440,,,,,,,
1441,,,,,,,
1443,,,,,,,
1444,,,,,,,
1445,,,,,,,
1446,,,,,,,
1447,,,,,,,
1448,,,,,,,
1449,,,,,,,
1450,,,,,,,
1451,,,,,,,
1452,,,,,,,
1453,,,,,,,
1454,,,,,,,
1455,,,,,Big Island Of Hawai'i,,
1456,,,,,,,
1457,,,,,,,
1458,,,,,Kealakekua Growing Region,,
1459,,,,,,,
1460,,,,,,,
1461,,,,,Island Of Maui,,
1462,,,,,,,
1463,,,,,,,
1464,,,,,,,
1465,,,,,,,
1466,,,,,,,
1467,,,,,,,
1468,,,,,,,
1469,,,,,,,
1470,,,,,Ecuador,,
1471,,,,,,,
1472,,,,,,,
1473,,,,,,,
1474,,,,,,,
1475,,,,,,,
1476,,,,,,,
1477,,,,,,,
1478,,,,,,,
1479,,,,,,,
1480,,,,,,,
1482,,,,,,,
1483,,,,,Central Colombia,,
1484,,,,,,,
1486,,,,,,,
1487,,,,,,,
1488,,,,,,,
1489,,,,,,,
1490,,,,,,,
1491,,,,,,,
1492,,,,,Panana,,
1493,,,,,Oromia Growing Region,,
1494,,,,,Chapada Diamantina Region,,
1495,,,,,Puntarenas,,
1496,,,,,,,
1497,,,,,,,
1498,,,,,,,
1499,,,,,,,
1500,,,,,,,
1501,,,,,,,
1502,,,,,,,
1503,,,,,,,
1504,,,,,,,
1505,,,,,,,
1506,,,,,,,
1507,,,,,,,
1508,,,,,,,
1509,,,,,Kauai,,
1510,,,,,,,
1511,,,,,,,
1512,,,,,,,
1513,,,,,,,
1514,,,,,Saint Helena Island,,
1515,,,,,Atok,,
1516,,,,,,,
1517,,,,,,,
1518,,,,,,,
1519,,,,,,,
1520,,,,,,,
1521,,,,,,,
1522,,,,,,,
1523,,,,,,,
1524,,,,,,,
1525,,,,,,,
1527,,,,,,,
1528,,,,,Santiago De María,,
1529,,,,,Southeastern El Salvador,,
1530,,,,,,,
1531,,,,,Northwestern El Salvador,,
1532,,,,,,,
1533,,,,,,,
1534,,,,,,,
1535,,,,,,,
1536,,,,,,,
1537,,,,,,,
1538,,,,,,,
1539,,,,,,,
1540,,,,,,,
1541,,,,,,,
1542,,,,,,,
1543,,,,,,,
1544,,,,,,,
1545,,,,,,,
1546,,,,,,,
1547,,,,,,,
1548,,,,,,,
1549,,,,,,,
1550,,,,,,,
1552,,,,,,,
1553,,,,,,,
1554,,,,,,,
1555,,,,,,,
1557,,,,,,,
1558,,,,,,,
1559,,,,,Cobán,,
1560,,,,,La Convención Province,,
1561,,,,,,,
1562,,,,,,,
1563,,,,,,,
1564,,,,,,,
1565,,,,,,,
1566,,,,,,,
1567,,,,,,,
1568,,,,,,,
1570,,,,,,,
1571,,,,,,,
1572,,,,,,,
1573,,,,,,,
1574,,,,,,,
1575,,,,,,,
1576,,,,,,,
1577,,,,,,,
1578,,,,,,,
1579,,,,,,,
1580,,,,,,,
1581,,,,,,,
1582,,,,,,,
1583,,,,,,,
1584,,,,,,,
1585,,,,,Central Highlands,,
1586,,,,,,,
1587,,,,,,,
1588,,,,,,,
1589,,,,,,,
1590,,,,,,,
1591,,,,,,,
1592,,,,,,,
1593,,,,,,,
1594,,,,,,,
1595,,,,,,,
1597,,,,,,,
1598,,,,,,,
1599,,,,,,,
1600,,,,,,,
1602,,,,,,,
1603,,,,,,,
1604,,,,,,,
1605,,,,,,,
1606,,,,,,,
1607,,,,,,,
1608,,,,,Katanga,,
1609,,,,,,,
1610,,,,,,,
1611,,,,,,,
1612,,,,,,,
1613,,,,,,,
1614,,,,,,,
1615,,,,,,,
1616,,,,,,,
1617,,,,,,,
1618,,,,,,,
1619,,,,,,,
1620,,,,,,,
1621,,,,,,,
1622,,,,,,,
1623,,,,,,,
1624,,,,,,,
1625,,,,,,,
1626,,,,,,,
1627,,,,,,,
1628,,,,,,,
1631,,,,,,,
1632,,,,,Big Island Of Hawai’i,,
1633,,,,,,,
1634,,,,,Sidama,,
1635,,,,,,,
1636,,,,,,,
1638,,,,,,,
1639,,,,,,,
1640,,,,,,,
1641,,,,,,,
1642,,,,,,,
1643,,,,,,,
1644,,,,,,,
1645,,,,,,,
1646,,,,,,,
1647,,,,,,,
1648,,,,,,,
1649,,,,,,,
1650,,,,,,,
1651,,,,,,,
1652,,,,,,,
1653,,,,,,,
1654,,,,,,,
1655,,,,,,,
1656,,,,,,,
1657,,,,,,,
1658,,,,,,,
1659,,,,,,,
1660,,,,,,,
1661,,,,,,,
1662,,,,,,,
1663,,,,,,,
1664,,,,,,,
1665,,,,,,,
1666,,,,,,,
1667,,,,,La Paz,,
1668,,,,,,,
1669,,,,,,,
1670,,,,,,,
1671,,,,,,,
1672,,,,,,,
1673,,,,,,,
1674,,,,,,,
1675,,,,,,,
1676,,,,,,,
1677,,,,,,,
1678,,,,,,,
1680,,,,,,,
1681,,,,,,,
1682,,,,,,,
1683,,,,,Tanzania,,
1684,,,,,,,
1685,,,,,,,
1686,,,,,,,
1687,,,,,,,
1688,,,,,,,
1689,,,,,,,
1690,,,,,,,
1691,,,,,,,
1692,,,,,,,
1693,,,,,,,
1694,,,,,Southwestern Colombia,,
1695,,,,,,,
1696,,,,,,,
1697,,,,,,,
1698,,,,,,,
1699,,,,,,,
1700,,,,,,,
1702,,,,,,,
1705,,,,,,,
1706,,,,,,,
1707,,,,,,,
1708,,,,,Northern Guatemala,,
1709,,,,,Hawaii,,
1710,,,,,,,
1711,,,,,,,
1712,,,,,,,
1713,,,,,,,
1714,,,,,,,
1715,,,,,,,
1716,,,,,Comayagua Department,,
1717,,,,,Chiapas State,,
1718,,,,,,,
1719,,,,,,,
1720,,,,,,,
1721,,,,,,,
1722,,,,,,,
1723,,,,,,,
1724,,,,,,,
1725,,,,,Drc Congo,,
1726,,,,,,,
1727,,,,,,,
1728,,,,,,,
1729,,,,,,,
1730,,,,,,,
1731,,,,,,,
1732,,,,,,,
1733,,,,,,,
1734,,,,,,,
1735,,,,,,,
1736,,,,,,,
1737,,,,,,,
1738,,,,,,,
1739,,,,,,,
1740,,,,,,,
1741,,,,,,,
1742,,,,,,,
1743,,,,,,,
1744,,,,,,,
1745,,,,,Mogiana,,
1746,,,,,,,
1747,,,,,,,
1748,,,,,,,
1749,,,,,,,
1750,,,,,,,
1751,,,,,,,
1752,,,,,,,
1753,,,,,,,
1754,,,,,,,
1755,,,,,,,
1756,,,,,,,
1757,,,,,Hawai’i,,
1758,,,,,,,
1759,,,,,,,
1760,,,,,,,
1761,,,,,,,
1762,,,,,,,
1763,,,,,,,
1764,,,,,,,
1765,,,,,,,
1766,,,,,,,
1767,,,,,,,
1768,,,,,,,
1769,,,,,,,
1770,,,,,,,
1771,,,,,,,
1772,,,,,,,
1773,,,,,,,
1774,,,,,,,
1775,,,,,,,
1776,,,,,,,
1777,,,,,,,
1778,,,,,,,
1779,,,,,,,
1780,,,,,,,
1781,,,,,,,
1782,,,,,“big Island” Of Hawaii,,
1783,,,,,,,
1784,,,,,,,
1785,,,,,,,
1786,,,,,,,
1787,,,,,,,
1788,,,,,,,
1789,,,,,,,
1790,,,,,,,
1791,,,,,Bolivia,,
1792,,,,,,,
1793,,,,,,,
1794,,,,,,,
1795,,,,,,,
1796,,,,,,,
1797,,,,,,,
1798,,,,,,,
1799,,,,,Jaén,,
1800,,,,,,,
1801,,,,,,,
1802,,,,,,,
1803,,,,,Cauca Department,,
1804,,,,,Gayo,,
1805,,,,,,,
1806,,,,,,,
1807,,,,,Chia-yi City,,
1809,,,,,,,
1810,,,,,,,
1811,,,,,,,
1812,,,,,,,
1813,,,,,,,
1814,,,,,,,
1815,,,,,,,
1816,,,,,,,
1817,,,,,Cartago Province,,
1818,,,,,,,
1819,,,,,,,
1820,,,,,,,
1821,,,,,,,
1822,,,,,,,
1823,,,,,,,
1824,,,,,China,,
1825,,,,,,,
1826,,,,,,,
1827,,,,,,,
1828,,,,,,,
1829,,,,,,,
1830,,,,,The Democratic Republic Of The Congo,,
1831,,,,,,,
1832,,,,,,,
1833,,,,,,,
1834,,,,,,,
1835,,,,,,,
1836,,,,,Chaiyi,,
1837,,,,,,,
1838,,,,,,,
1839,,,,,,,
1840,,,,,,,
1841,,,,,,,
1842,,,,,,,
1843,,,,,,,
1844,,,,,,,
1845,,,,,,,
1846,,,,,,,
1847,,,,,,,
1848,,,,,,,
1849,,,,,Galapagos Islands,,
1850,,,,,South Africa,,
1851,,,,,,,
1852,,,,,,,
1853,,,,,,,
1854,,,,,,,
1855,,,,,,,
1856,,,,,Northwest Colombia,,
1857,,,,,,,
1858,,,,,,,
1859,,,,,,,
1860,,,,,,,
1861,,,,,,,
1862,,,,,Gedeb,,
1863,,,,,,,
1865,,,,,,,
1866,,,,,,,
1867,,,,,,,
1868,,,,,,,
1869,,,,,,,
1870,,,,,,,
1871,,,,,,,
1872,,,,,,,
1873,,,,,"""big Island"" Of Hawai’i",,
1874,,,,,Southwestern Kenya,,
1875,,,,,,,
1876,,,,,Western Kenya,,
1877,,,,,Haiti,,
1878,,,,,,,
1879,,,,,,,
1880,,,,,,,
1881,,,,,,,
1882,,,,,,,
1883,,,,,,,
1884,,,,,,,
1885,,,,,,,
1886,,,,,,,
1887,,,,,,,
1888,,,,,,,
1889,,,,,,,
1890,,,,,,,
1891,,,,,,,
1893,,,,,,,
1894,,,,,,,
1895,,,,,,,
1896,,,,,,,
1898,,,,,,,
1899,,,,,,,
1900,,,,,,,
1901,,,,,,,
1902,,,,,,,
1903,,,,,,,
1904,,,,,,,
1905,,,,,,,
1906,,,,,,,
1907,,,,,,,
1908,,,,,,,
1909,,,,,,,
1910,,,,,,,
1911,,,,,,,
1912,,,,,,,
1913,,,,,,,
1914,,,,,,,
1915,,,,,,,
1916,,,,,,,
1917,,,,,,,
1918,,,,,,,
1919,,,,,,,
1920,,,,,,,
1921,,,,,,,
1922,,,,,,,
1923,,,,,,,
1924,,,,,Sul De Minas,,
1925,,,,,,,
1926,,,,,,,
1927,,,,,,,
1928,,,,,,,
1929,,,,,,,
1930,,,,,,,
1931,,,,,,,
1932,,,,,,,
1933,,,,,,,
1934,,,,,,,
1935,,,,,,,
1936,,,,,,,
1937,,,,,,,
1938,,,,,,,
1939,,,,,,,
1940,,,,,,,
1941,,,,,,,
1942,,,,,,,
1943,,,,,,,
1944,,,,,,,
1945,,,,,,,
1946,,,,,,,
1947,,,,,,,
1948,,,,,,,
1949,,,,,Thailand,,
1950,,,,,,,
1951,,,,,,,
1952,,,,,,,
1953,,,,,,,
1954,,,,,Comayagua,,
1955,,,,,,,
1956,,,,,,,
1957,,,,,,,
1958,,,,,,,
1959,,,,,,,
1960,,,,,,,
1961,,,,,,,
1962,,,,,,,
1963,,,,,,,
1964,,,,,,,
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,,,,,,,
1970,,,,,,,
1971,,,,,,,
1972,,,,,,,
1973,,,,,,,
1974,,,,,,,
1975,,,,,,,
1976,,,,,,,
1977,,,,,,,
1978,,,,,,,
1979,,,,,,,
1980,,,,,,,
1981,,,,,,,
1984,,,,,,,
1985,,,,,,,
1986,,,,,,,
1987,,,,,Sidama Region,,
1988,,,,,,,
1989,,,,,,,
1990,,,,,,,
1991,,,,,,,
1992,,,,,,,
1993,,,,,,,
1994,,,,,,,
1995,,,,,,,
1996,,,,,,,
1997,,,,,,,
1998,,,,,,,
1999,,,,,,,
2000,,,,,"['Panama', 'Ethiopia']",,
2001,,,,,"['Africa', 'Asia Pacific']",,
2002,,,,,"['Guji Zone', 'Southern Ethiopia']",,
2003,,,,,"['Guji Zone', 'Oromia Region']",,
2004,,,,,"['Gedeb District', 'Gedeo Zone']",,
2005,,,,,"['Odo Shakiso District', 'Guji Zone']",,
2006,,,,,"['Yirgacheffe Growing Region', 'Southern Ethiopia']",,
2007,,,,,"['Hambela Wamena District', 'Guji Zone']",,
2008,,,,,"['Hambela District', 'Guji Zone']",,
2009,,,,,"['Sidama (also Sidamo) Growing Region', 'Southern Ethiopia']",,
2010,,,,,"['Central Kenya', 'Sidama (also Sidamo) Growing Region']",,
2011,,,,,"['Tore Village', 'Yirgacheffe Growing Region']",,
2012,,,,,"['Africa', 'South America']",,
2013,,,,,,,
2014,,,,,,,
2015,,,,,,,
2016,,,,,"['Ethiopia', 'Kenya']",,
2017,,,,,"['Colombia', 'Ethiopia']",,
2018,,,,,"['Yirgacheffe', 'Ethiopia']",,
2019,,,,,"['Holualoa', 'North Kona Growing District']",,
2020,,,,,"['Kirinyaga District', 'South-central Kenya']",,
2021,,,,,"['Nyeri Growing Region', 'South-central Kenya']",,
2022,,,,,,,
2023,,,,,"['Mexico', 'Ethiopia']",,
2024,,,,,,,
2025,,,,,"['Nakuru Province', 'South-central Kenya']",,
2026,,,,,"['San Martin Jilotepeque', 'Chimaltenango Department']",,
2027,,,,,"['Kericho County', 'Kenya']",,
2028,,,,,"['Santa Rosa', 'La Unión Department']",,
2029,,,,,"['Gichugu Division', 'Kirinyaga County']",,
2030,,,,,,,
2031,,,,,,,
2032,,,,,"['Aleta Wondo', 'Sidama (also Sidamo) Growing Region']",,
2033,,,,,,,
2034,,,,,"['Huila', 'Colombia']",,
2035,,,,,,,
2036,,,,,,,
2037,,,,,"['Kirumba', 'North Kivu Province']",,
2038,,,,,"['Ethiopia', 'Costa Rica']",,
2039,,,,,"['Nakuru County', 'South-central Kenya']",,
2040,,,,,,,
2041,,,,,"['Nueva Segovia Growing Region', 'Nicaragua']",,
2042,,,,,"['Biolley', 'Southern Costa Rica']",,
2043,,,,,"['Kochere', 'Yirgacheffe Growing Region']",,
2044,,,,,"['Piedra Candela', 'Chiriqui Province']",,
2045,,,,,"['Santa Ana Department', 'El Salvador']",,
2046,,,,,"['Boquete Growing Region', 'Western Panama']",,
2047,,,,,"['South-central Kenya', 'Boquete Growing Region']",,
2048,,,,,"['Horcheta', 'Chiriqui Province']",,
2049,,,,,,,
2050,,,,,,,
2051,,,,,"['Narino Department', 'Southern Colombia']",,
2052,,,,,"['Paso Ancho', 'Volcan']",,
2053,,,,,"[""Ka'u Growing Region"", 'Big Island Of Hawaii']",,
2054,,,,,,,
2055,,,,,"['Gatundu', 'Thika Province']",,
2056,,,,,"['Doi Pangkhon Growing Region', 'Northern Thailand']",,
2057,,,,,"['Northern Sumatra', 'Indonesia']",,
2058,,,,,"['Southern Tolima Department', 'West-central Colombia']",,
2059,,,,,,,
2060,,,,,,,
2061,,,,,"['Haraz Growing Region', 'North-central Yemen']",,
2062,,,,,"['Captain Cook', 'North Kona Growing District']",,
2063,,,,,"['Chimaltenango Department', 'Guatemala']",,
2064,,,,,"['Jinotega', 'Nicaragua']",,
2065,,,,,"['Mukaro', 'Nyeri Growing Region']",,
2066,,,,,"['Marcala Growing Region', 'La Paz Department']",,
2067,,,,,"['Kiambu County', 'South-central Kenya']",,
2068,,,,,"['Copan', 'Honduras']",,
2069,,,,,,,
2070,,,,,,,
2071,,,,,"['Nyamagabe District', 'Southern Province']",,
2072,,,,,,,
2073,,,,,,,
2074,,,,,"['Sidamo Growing Region', 'South-central Ethiopia']",,
2075,,,,,,,
2076,,,,,,,
2077,,,,,,,
2078,,,,,"['Huila Department', 'Southern Colombia']",,
2079,,,,,,,
2080,,,,,"['Gayo (also Aceh) Growing Region', 'Aceh Province']",,
2081,,,,,"['Chiriqui Province', 'Far Western Panama']",,
2082,,,,,,,
2083,,,,,"['Central Valley', 'Costa Rica']",,
2084,,,,,,,
2085,,,,,"['Brazil And Four Other Origins', 'Yirgacheffe Growing Region']",,
2086,,,,,"['Brazil', 'Costa Rica']",,
2087,,,,,,,
2088,,,,,,,
2089,,,,,"['Tolima Department', 'Center-west Colombia']",,
2090,,,,,"['Agaro District', 'Jimma Zone']",,
2091,,,,,"['Sidamo (also Sidama) Growing Region', 'South-central Ethiopia']",,
2092,,,,,"['Yirgacheffe Growing Region', 'South-central Ethiopia']",,
2093,,,,,"['Cajamarca', 'Peru']",,
2094,,,,,"['El Salvador', 'Indonesia']",,
2095,,,,,"['Colombia', 'Kenya']",,
2096,,,,,"['Costa Rica', 'Ethiopia']",,
2097,,,,,"['Central America', 'South America']",,
2098,,,,,"['Guatemala', 'El Salvador']",,
2099,,,,,"['Kenya', 'Ethiopia']",,
2100,,,,,,,
2101,,,,,,,
2102,,,,,,,
2103,,,,,"['Gaitania', 'Tolima Department']",,
2104,,,,,"['Gikongoro Prefecture', 'South-central Rwanda']",,
2105,,,,,"['Gedeo Zone', 'Yirgacheffe Growing Region']",,
2106,,,,,"['Sabanilla De Alajuela', 'Central Valley']",,
2107,,,,,"['Bhirkune Village', 'Nuwakot District']",,
2108,,,,,"['Tarrazu Growing Region', 'Costa Rica']",,
2109,,,,,"['Peru', 'Tarrazu Growing Region']",,
2110,,,,,"['Guatemala', 'Honduras']",,
2111,,,,,,,
2112,,,,,"['Lintong Growing Region', 'North Sumatra Province']",,
2113,,,,,,,
2114,,,,,"['Sidama (also Sidamo) Growing Region', 'South-central Ethiopia']",,
2115,,,,,,,
2116,,,,,"['Kahale', 'South Kivu Province']",,
2117,,,,,"['Ethiopia', 'Burundi']",,
2118,,,,,,,
2119,,,,,,,
